YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-12,WEEKDAY,10,TRAIN,CC20,4612,2995
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3242,2649
2023-12,WEEKDAY,21,TRAIN,EW25,4129,12060
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,EW25,3038,6494
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,CC2,2945,2815
2023-12,WEEKDAY,16,TRAIN,CC2,5750,3556
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2752,2832
2023-12,WEEKDAY,14,TRAIN,CC12,3970,4227
2023-12,WEEKDAY,16,TRAIN,NS20,56872,25858
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NS20,18944,14457
2023-12,WEEKDAY,16,TRAIN,NS14,24397,27213
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NS14,17601,14603
2023-12,WEEKDAY,11,TRAIN,NS15,17216,11212
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS15,8166,3791
2023-12,WEEKDAY,5,TRAIN,EW21/CC22,1978,918
2023-12,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,506,107
2023-12,WEEKDAY,11,TRAIN,BP4,2393,1118
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1122,517
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,1661,2944
2023-12,WEEKDAY,11,TRAIN,NS27/CE2/TE20,4370,4176
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,21130,13038
2023-12,WEEKDAY,9,TRAIN,NS17/CC15,53917,27050
2023-12,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4950,1498
2023-12,WEEKDAY,6,TRAIN,EW10,15164,3587
2023-12,WEEKDAY,8,TRAIN,NS28,1719,3067
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NS28,878,2040
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,EW33,3256,3383
2023-12,WEEKDAY,7,TRAIN,EW33,11032,14616
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1024,962
2023-12,WEEKDAY,18,TRAIN,BP12,2322,5812
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,19064,539
2023-12,WEEKDAY,0,TRAIN,EW14/NS26,542,122
2023-12,WEEKDAY,0,TRAIN,CG2,148,207
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,CG2,127,97
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,NE5,6776,7864
2023-12,WEEKDAY,16,TRAIN,NE5,12726,12171
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,28002,19091
2023-12,WEEKDAY,11,TRAIN,NE16/STC,43308,30065
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,TE6,7331,2418
2023-12,WEEKDAY,9,TRAIN,TE6,16686,3931
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,EW9,13954,12524
2023-12,WEEKDAY,13,TRAIN,EW9,15552,14749
2023-12,WEEKDAY,8,TRAIN,TE5,11020,5107
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,TE5,2407,1291
2023-12,WEEKDAY,17,TRAIN,CC6,11650,11914
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,CC6,7727,7962
2023-12,WEEKDAY,8,TRAIN,NE8,29713,34862
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NE8,8770,10048
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2235,4083
2023-12,WEEKDAY,20,TRAIN,CC7,4012,8129
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NS3,5389,12125
2023-12,WEEKDAY,20,TRAIN,NS3,9753,28374
